Headline,Article,Date
Consolidating spirit of Olympics is important - FC members,"...MOSCOW, August 8 (Itar-Tass) - It is important to preserve not
 only the competitive, but also consolidating spirit of the Olympic
 Games,"" members of the Federation Council upper house of Russia's
 parliament stressed in an interview to Itar-Tass in connection with
 the opening of the Beijing Olympics on Friday. ... ""It is necessary to support the meaning of modern Olympics as
 global-scale events uniting people of different nationality in
 peaceful struggle,"" FC vice speaker Dmitry Mezentsev said....","Aug. 08, 2008"
Criminal case opened over methane flare at Lenin coalmine,"...MOSCOW, August 8 (Itar-Tass) - A criminal case has been opened
 over the July 29 methane flare at the Lenin coalmine of the Mechel
 company in the Kemerovo region, a source at the Russian Prosecutor
 General's Office Investigation Committee told Itar-Tass on
 Friday. ... ""The criminal case was opened for a breach of mining safety
 rules [part 1, article 216 of the Russian Criminal Code] over the
 methane flare at the Lenin coalmine of the Yuzhkuzbassugol Company
 on results of an inspection conducted by the Investigation
 Committee,"" committee spokesman Vladimir Markin said....","Aug. 08, 2008"
Duma speaker says Russia to act in compliance with int'l law on S Ossetia,"...MOSCOW, August 8 (Itar-Tass) - Russia will act in strict
 compliance with international law as well as its national interests
 when it tackles the situation around the unrecognized republic of
 South Ossetia, Boris Gryzlov, the speaker of the lower house of
 Russian parliament said Friday upon the end of a conference with
 leaders of Duma factions and committees related to foreign policy,
 defense and security. ... ""Russia has always acted and will continue acting this way and
 using the opportunities offered by its Constitution, Russian
 legislation, international law norms, and, naturally, in conformity
 with its national interests,"" Duma's press service quoted Gryzlov
 as saying....","Aug. 08, 2008"
EU Troika foreign ministers to discuss South Ossetia on Aug 9 - Kouchner,"...MOSCOW, August 8 (Itar-Tass) - The foreign ministers of the EU
 Troika will discuss the South Ossetian crisis on August 9, French
 Foreign Minister Bernard Kouchner told Russian Foreign Minister
 Sergei Lavrov by phone on Friday. ... ""The French side initiated the conversation,"" the Russian
 Foreign Ministry said. ... ""Lavrov gave a detailed account of the situation in South
 Ossetia where Georgian servicemen unleashed an aggression that
 claimed numerous lives amongst civilians and Russian peacekeepers,""
 the ministry said....","Aug. 08, 2008"
EU calls to immediately stop violence in S Ossetia,"...BRUSSELS, August 8 (Itar-Tass) - The European Union insists on
 immediate cessation of the violence in South Ossetia, a European
 diplomat at the EU Council told Itar-Tass on Friday. ... The European Union is deeply concerned over the dramatic
 developments, which have already caused deaths of people, the
 diplomat said. ... The EU high representative for the Common Foreign and Security
 Policy, Javier Solana, watches the situation very attentively. On
 Thursday, he had a telephone talk with Mikhail Saakashvili, in
 which he emphasised that it was necessary to act restrainedly and
 return to the negotiating table....","Aug. 08, 2008"
"EU, OSCE, US sending joint delegation to Georgia - French Foreign Ministry","...PARIS, August 8 (Itar-Tass) - The European Union, the OSCE and
 the United States will send a joint delegation to Georgia in order
 to achieve the soonest ceasefire agreement, the French Foreign
 Ministry said on Friday. ... France is currently presiding in the European Union. ... The ministry said they had made the decision due to the
 seriousness of the situation in South Ossetia and a series of
 contacts that French Foreign Minister Bernard Kouchner started on
 Thursday night. ... The EU Troika will discuss South Ossetian on August 9, Kouchner
 told Foreign Minister Sergei Lavrov by phone....","Aug. 08, 2008"
Euro's mean weighted rate to rouble for "today" goes down,"...MOSCOW, August 8 (Itar-Tass) - The euro's mean weighted rate
 amounted to 36.3129 roubles for one euro for ""today"" delivery
 during Friday's unified trading at the Moscow Interbank Currency
 Exchange (MICEX). ... In comparison with Thursday, euro's mean weighted rate to rouble
 for ""today"" plunged by 17.25 kopecks. ... The volume of trade equaled to 40.921 million euros and 177
 deals were concluded....","Aug. 08, 2008"
Euro's mean weighted rate to rouble for "tomorrow" goes down,"...MOSCOW, August 8 (Itar-Tass) - The euro's mean weighted rate
 amounted to 36.3684 roubles for one euro for ""tomorrow"" delivery
 during Friday's unified trading at the Moscow Interbank Currency
 Exchange (MICEX). ... In comparison with Thursday, the euro's mean weighted rate
 plunged by 9.96 kopecks. ... The volume of trade equaled to 197.844 million euros and 360
 deals were concluded....","Aug. 08, 2008"
"Families, Altai rescuers join search for Russian mountaineers in Kyrgyzstan","...BISHKEK, August 8 (Itar-Tass) - Families and Altai rescuers have
 joined the search for three Russian mountaineers missing in
 Kyrgyzstan, a source at the Kyrgyz Emergency Situations Ministry
 told Itar-Tass on Friday. ... He said nine Russian mountaineers came to Kyrgyzstan on July 20
 at the initiative of the West Siberian search-and-rescue unit of
 the Russian Emergency Situations Ministry. The team headed for the
 Terskei-Ala-Too Ridge and split into three groups at the height of
 4,300 meters....","Aug. 08, 2008"
"Foreign Ministry recommends Ukrainians to avoid S - Ossetia, Abkhazia","...KIEV, August 8 (Itar-Tass) - The Ukrainian Foreign Ministry has
 recommended Ukrainian citizens not to visit South Ossetia and
 Abkhazia. ... ""As Russia has closed down the Kazbegi-Verkhny Lars checkpoint -
 the only legitimate land checkpoint between Georgia and the Russian
 Federation - the Ukrainian Foreign Ministry requests Ukrainian
 citizens to abstain from transit, including that by private
 vehicles, to Georgia through the territories of the Russian
 Federation, Abkhazia and South Ossetia,"" the ministry said on
 Friday....","Aug. 08, 2008"
French foreign minister trying to achieve ceasefire in South Ossetia,"...PARIS, August 8 (Itar-Tass) - French Foreign Minister and EU
 chair Bernard Kouchner maintains contact with everyone engaged in
 the Georgian-Ossetian conflict in order to achieve immediate
 ceasefire, the French Foreign Ministry said on Friday. ... ""France appeals for the immediate end of hostilities and the
 soonest resumption of negotiations, which are the only chance to
 resolve the crisis,"" the ministry said....","Aug. 08, 2008"
Georgia - bound Russian liners have to bypass SOssetia,"...MOSCOW, August 8 (Itar-Tass) - Russian airliners bound for
 Georgia have had to alter their routes to enter Georgian airspace
 from Azerbaijan due to hostilities in South Ossetia, the
 press-secretary of the Sibir airlines, Irina Kolesnikova, told
 Itar-Tass. Sibir operates flights from Moscow to Tbilisi, Kutaisi
 and Batumi. ... ""Normally our liners fly over South Ossetia. Now a decision has
 been made to alter the route for security reasons. The flight lasts
 half an hour longer on the average....","Aug. 08, 2008"
Georgia Su - 25 strike fighters attack Ossetian Kvernet village,"...MOSCOW, August 8 (Itar-Tass) - Georgian strike fighters Su-25
 have just conducted a bombing strike on the Ossetian village of
 Kvernet and a convoy with humanitarian supplies that was heading
 for Tskhinvali from North Ossetia along the detour Zar road, the
 state information and press committee of the Republic of South
 Ossetia reported. ... According to the committee, ""By the morning the shelling of
 Tskhinvali intensified and fighting with the use of heavy firepower
 equipment is underway in the city and its surroundings....","Aug. 08, 2008"
Georgia acted treacherously - co - chairman,"...MOSCOW, August 8 (Itar-Tass) - Georgia acted treacherously by
 beginning to shell Tskhinvali at night, co-chairman of the Joint
 Control Commission (SKK) for settling the South Ossetian conflict
 for Russia Yuri Popov said. ... ""I regard Georgia's actions as treacherous,"" he told the Vesti
 news channel, ""several hours ago, accords were reached on a meeting
 in Tskhinvali, to discuss ways out of the situation;
 simultaneously, President Saakashvili made a statement about
 Georgia's going into the ceasefire mode; and presidents' words are
 usually trusted....","Aug. 08, 2008"
Georgia aviation raiding Tskhinvali,"...VLADIKAVKAZ, August 8 (Itar-Tass) - Georgian aviation is raiding
 Tskhinvali, a member of the North Ossetian Public Chamber, Oleg
 Teiziyev, said. ... He came to South Ossetia's first city in the night to
 Friday. ... He told ITAR-TASS by phone that warplanes barraged the city,
 whose defense is still holding out. ... However, there is no communication with same battalions, as they
 are cut off from each other. ... ""People in the besieged city are waiting for help, hoping for
 interference of Russia that can put an end to destruction of the
 civilian population,"" Teiziyev said....","Aug. 08, 2008"
"Georgia claims have downed Russian jet, Russia denies","...TBILISI, August 8 (Itar-Tass) - The Georgian military claimed
 they have downed a Russian combat jet over South Ossetia on
 Friday. ... Russia responded the claim was ""delirium"". ... ""That is delirium, just another mean provocation of Georgian
 authorities,"" a Russian foreign ministry source told Tass
 commenting on the report of the Georgian Rustavi-2 TV channel. ... In the meantime, the South Ossetian information committee said
 Russian citizens among South Ossetians, who are hiding from
 Georgian shelling in the basements of the houses in Tskhinvali,
 called on Russia to save them....","Aug. 08, 2008"
Georgia claims victims in alleged Russian air raid,"...TBILISI, August 8 (Itar-Tass) - Russian warplanes thrice bombed
 an airfield of the Georgian Defense Ministry in the Marneuli
 district, 40 kilometers south of Tbilisi, on Friday afternoon, the
 Georgian Foreign Ministry said. ... ""A number of airfield staff members were killed and wounded, and
 several warplanes were destroyed,"" the ministry said. ... The local media said that the raid killed five people....","Aug. 08, 2008"
"Georgia fighters attack Ossetian village, humanitarian convoy","...MOSCOW, August 8 (Itar-Tass) - Georgian strike fighters Su-25
 have conducted a bombing strike on the Ossetian village of Kvernet
 and a convoy with humanitarian supplies that was heading for
 Tskhinvali from North Ossetia along the detour Zar road, the state
 information and press committee of the Republic of South Ossetia
 reported. ... According to the committee, ""By the morning the shelling of
 Tskhinvali intensified and fighting with the use of heavy firepower
 equipment is underway in the city and its surroundings....","Aug. 08, 2008"
Georgia gives grounds to consider S Ossetia independence -Mironov,"...KHASYN, Magadan Region, August 8 (Itar-Tass) - Georgia's armed
 aggression against Tskhinvali gives a serious reason to the Russian
 parliament to consider South Ossetia's appeal for recognition of
 its independence, Federation Council Chairman Sergei Mironov stated
 here. ... Saakashvili has made a strategic mistake this Friday, the head
 of the Russian parliament's upper house said. ... Saakashvili has shown to the entire world how he treats his
 citizens - he kills them, the speaker said. ... In this connection, all the repeated appeals of citizens from
 South Ossetia and Abkhazia to Russia that they do not want to be
 within Georgia become particularly convincing, he noted....","Aug. 08, 2008"
Georgia reports its forces control eight villages in conflict zone,"...TBILISI, August 8 (Itar-Tass) - Georgian law enforcement
 authorities took control of eight villages in the Georgian-South
 Ossetian conflict zone, local media reported on Friday. ... According to the reports, the Georgian side also took control of
 several important strategic heights in the conflict zone.
 ""Tskhinvali is surrounded, but the Georgian side does not want
 destruction and casualties and so proposes leaders of separatists
 to begin direct talks on ceasefire and de-escalation of the
 situation in the conflict zone....","Aug. 08, 2008"
Georgia restoring constitutional order in Tskhinvali - military,"...TIBLISI, August 8 (Itar-Tass) - Georgian law-enforcement bodies
 have begun actions toward restoring the constitutional law and
 order in the part of the Tskhinvali region which is not control by
 the Georgian authorities, chief of the headquarters for
 peacekeeping operations of Georgia's Joint Staff Brigadier Mamuka
 Kurashvili stated on Friday. ... ""These actions are taking place without incidents or losses. The
 actions with the aim of restoring the constitutional law and order
 are necessitated by the fact that illegal armed groups of
 separatists were shelling Georgian villages for many weeks, staged
 blasts and terrorist attacks which resulted in the death and
 injures of civilians and created a threat to the whole population......","Aug. 08, 2008"
Georgia should be put in total international isolation - Kosachev,"...MOSCOW, August 8 (Itar-Tass) - It is necessary to put Georgia in
 the situation of the total international isolation, believes head
 of the international affairs committee of the State Duma lower
 house of Russia's parliament Konstantin Kosachev. ... ""The developments there should put Georgia in a situation of the
 total international isolation, Europe and the United States should
 stop the policy course they have been pursuing towards Georgia -
 supporting it and unquestionably covering its actions,"" the Duma
 official told Itar-Tass....","Aug. 08, 2008"
Georgia takes aggressive actions on day of Olympics opening,"...BEIJING, August 8 (Itar-Tass) - Russian Prime Minister Vladimir
 Putin noted that Georgian leaders took aggressive actions against
 South Ossetia on the day of the opening of the Olympics in
 Beijing. ... The situation developed on the Olympics opening day despite the
 fact that arms must be silent during Olympic Games, Putin noted
 when he met with Kazakh President Nursultan Nazarbayev. ... On the contrary, Georgian leaders took aggressive actions
 against South Ossetia, in fact starting combat actions, the Russian
 premier said....","Aug. 08, 2008"
Georgia uses tanks near Tskhinvali - Putin,"...BEIJING, August 8 (Itar-Tass) - Russian Prime Minister Vladimir
 Putin, during the talk with Chinese Premier Wen Jiabao, informed
 the Chinese side in detail about the situation in South Ossetia,
 the Russian premier's press secretary Dmitry Peskov told
 reporters. ... Putin noted that the Georgian side shelled Tskhinvali from three
 sides with the use of Grad launchers. ... One of the shells hit barracks of Russian peacekeepers, Putin
 said. ... Putin also informed the Chinese side that Georgia used tanks in
 the fighting near Tskhinvali....","Aug. 08, 2008"
Georgia withdrawing peacekeepers from Iraq - Saakashvili,"...TBILISI, August 8 (Itar-Tass) - Georgian President Mikhail
 Saakashvili told CNN on Friday that Georgia would withdraw
 peacekeepers from Iraq. ... He claimed that Russia had unleashed a war against Georgia and
 the peacekeepers would be withdrawn from Iraq on August 9. ... Georgia has had 2,000 peacekeepers in Iraq since last summer.
 The peacekeepers are rotated every six months. Earlier reports said
 that the Georgians would stay in Iraq until the end of this year.
 Georgia engaged in the peacekeeping operation in Iraq in August
 2003....","Aug. 08, 2008"
Georgia wouldn't attack SOssetia without western support - analysts,"...MOSCOW, August 8 (Itar-Tass) - Georgia's war against its
 breakaway region of South Ossetia would have been impossible
 without heavy political backing from the West, although officially
 it professes commitment to peace, Russian analysts say. ... Vladimir Zharikhin, the deputy director of the CIS Studies
 Institute, distrusts peace calls from western leaders, as he is
 certain that Georgia' s US-backed President Mikhail Saakashvili
 would have never dared to start hostilities without tacit consent
 from western patrons, let alone wage the war on the opening day of
 the Beijing Olympics....","Aug. 08, 2008"
"Georgian Union in Russia calls for peace, negotiations","...MOSCOW, August 8 (Itar-Tass) - The Georgian Union in Russia has
 called on parties to the Georgian-Ossetian conflict to immediately
 suspend the hostilities and to begin negotiations. ... ""The Georgian Union in Russia is seriously concerned over the
 events in South Ossetia. We cannot be indifferent to information
 coming from the combat zone, because women, elderly people,
 children and other civilians fall innocent victim of any war in the
 first turn. We will not name the culprits of this bloodshed,
 because the search for culprits spurs on the armed confrontation,""
 says a statement received by Itar-Tass on Friday....","Aug. 08, 2008"
Georgian aggression is crude violation of intl law - Medvedev,"...MOSCOW, August 8 (Itar-Tass) - Russian President Dmitry Medvedev
 has accused Georgia of committing an act of aggression in South
 Ossetia. ... ""Georgian troops last night in fact committed an act of
 aggression against Russian peacekeepers and civilians,"" Medvedev
 said at an urgent meeting of the Security Council in the Kremlin on
 Friday. ... He described the intervention as ""the crudest violation of
 international law and of the mandates the world community had
 issued to Russia as a partner in the peace settlement....","Aug. 08, 2008"
Georgian aircraft bombs village outside conflict zone,"...TSKHINVALI, August 8 (Itar-Tass) - A Georgian aircraft attacked
 the village of Dzhava outside the conflict zone, an Itar-Tass
 correspondent reported from the base where are refugees from
 Tskhinvali and other South Ossetian regions. ... The area was believed to be safe, and children from the conflict
 zone were at first evacuated right there. There is no information
 so far about victims and wounded people. The hospital does not
 answer telephone calls. According to one of doctors, the hospital
 personnel together with the patients moved to the basement because
 the hospital was continuously under fire....","Aug. 08, 2008"
Georgian aircraft bombs village outside conflict zone,"...TSKHINVALI, August 8 (Itar-Tass) - A Georgian aircraft attacked
 the village of Dzhava outside the conflict zone, an Itar-Tass
 correspondent reported....","Aug. 08, 2008"
"Georgian army units concentrated south of Tskhinvali, shell city","...TSKHINVALI, August 8 (Itar-Tass) - Georgia after the failing
 attempt to storm Tskhinvali overnight is concentrating its army
 units about five kilometres south of the South Ossetian
 capital. ... More than 2,000 Georgian servicemen are concentrated south of
 the city and, from all appearances, are preparing for a new attack.
 Up to 30 mobile artillery launchers are ready to support them.
 Several Grad guns are shelling the city, an Itar-Tass correspondent
 reports from the site. ... Due to the complicated situation, it is hard to contact the
 command of the peacekeeping forces in the Georgian-South Ossetian
 conflict zone....","Aug. 08, 2008"
Georgian forces conduct aimed fire at peacekeepers - command,"...MOSCOW, August 8 (Itar-Tass) - The command of the peacekeeping
 forces in the zone of the Georgian-Ossetian conflict has confirmed
 that Georgian forces conduct aimed fire at peacekeepers in
 Tskhinvali. Many Russian journalists present at the peacekeepers'
 permanent location are witnesses to this....","Aug. 08, 2008"
Georgian frgn min accuses Russia of breaking int'l law norms,"...TBILISI, August 8 (Itar-Tass) - Georgia's Foreign Ministry
 believes that Russia tramples on the norms of international law and
 the fundamental principles of relations between states, as Georgia
 has fallen victim to a full-scale military aggression on the part
 of Russia, the ministry said in a statement Friday. ... It indicated that, from its angle of view, the case in hand was
 not just separate acts of agression but, rather, open hostilities
 conducted by Russia on Georgian territory. ... The statement claimed that Russian Air Force jets have made
 several incursions into Georgian airspace during the day and have
 bombed the territory of Kareli and Gori districts that are located
 outside of the zone of conflict in the......","Aug. 08, 2008"
Georgian hostilities are genocide of Ossetian people - State Duma vice - speaker,"...MOSCOW, August 8 (Itar-Tass) - State Duma Vice-Speaker Ivan
 Melnikov (the Communist Party) has described Georgian hostilities
 against South Ossetia as genocide of the Ossetian people. ... The Georgian administration ""has proven to be unable to resolve
 problems at negotiations and perpetrated a severe crime and an open
 act of aggression against the peaceful republic,"" he said. ... Melnikov voiced support to Russian actions targeted for ending
 the bloodshed in South Ossetia....","Aug. 08, 2008"
Georgian leadership denies reports on gunfire at Rssn peacekeepers,"...TBILISI, August 8 (Itar-Tass) - Russian mass media reports that
 the Georgian side opened fire at the position of the Russian
 peacekeeping battalion in the zone of conflict in the unrecognized
 republic of South Ossetia are nothing else than ""a hundred percent
 falsehood,"" Kakha Lomaya, the Secretary of Georgia's Security
 Council said Friday. ... ""I can state on behalf of the country's leadership that the
 Georgian side did not open fire at Russian peacekeepers in the zone
 of conflict and allegations of this kind are spread by certain
 forces inside Russia seeking to disrupt normalization of relations
 between Georgia and Russia and unwilling to see peaceful
 coexistence of our two countries,"" Lomaya said....","Aug. 08, 2008"
Georgian minister says South Ossetians laying down arms to be amnestied,"...TBILISI, August 8 (Itar-Tass) - Georgia's State Minister for
 Reintegration Temuri Yakobashvili, who also is a special
 representative of the Georgian president for settlement of
 conflicts has called on ""the members of South Ossetian paramilitary
 units still remaining in the zone of conflict to give up senseless
 resistance."" ... ""On behalf of Georgia's authorities, I urge everyone taking part
 in combat actions to lay down arms,"" Yakobashvili said. ""Georgia's
 President has given official assurances that all of those laying
 down arms will be amnestied....","Aug. 08, 2008"
Georgian multiple launch systems shelling Tskhinvali,"...VLADIKAVKAZ, August 8 (Itar-Tass) - Georgian ""Grad"" multiple
 launch systems fired three full salvos at Tskhinvali, head of the
 committee on press and information of the self-proclaimed republic
 of South Ossetia Irina Gagloyeva told Itar-Tass by telephone. ... ""The massive artillery shelling of the city, and mortar and
 grenade launcher shelling is coming from Georgian territories
 neighboring South Ossetia in the Gori direction. ... ""Most shells are exploding in central Tskhinvali. There's
 information that Georgian armed forces are beginning to storm
 Tskhinvali,"" Gagloyeva said....","Aug. 08, 2008"
Georgian tanks are said to have entered Tskhinvali,"...VLADIKAVKAZ, August 8 (Itar-Tass) - Georgian tanks are said to
 have appeared in all parts of the South Ossetian capital city
 Tskhinvali. They are conducting fire at buildings, witnesses in the
 besieged city have told Itar-Tass over the telephone. ... Only Georgian telephone numbers in the city are operational.
 People hiding in the basements of building say they can see tanks'
 caterpillars. ... According to witnesses pockets of resistance in the city are
 many. South Ossetian forces are fighting back, attacking Georgian
 tanks with grenade launchers....","Aug. 08, 2008"
Georgian tanks burning all around Tskhinvali - peacekeeper,"...VLADIKAVKAZ, August 8 (Itar-Tass) - Georgian tanks are burning
 all round Tskhinvali, Ossetian peacekeeping battalion commander
 Kazbek Friyev said by phone. ... He said South Ossetian forces had driven Georgian servicemen out
 of the town and taken full control of Tskhinvali. The massive
 gunfire has ceased, but certain random shots can still be heard, he
 noted. ... Friyev denied reports claimed that residents and South Ossetian
 servicemen were allegedly leaving the town through a corridor made
 by Georgia....","Aug. 08, 2008"
"Georgian, SOssetian troops clash near Tskhinvali - SOssetia leader","...VLADIKAVKAZ, August 8 (Itar-Tass) - Fighting is raging near
 Tskhinvali, President of the self-proclaimed republic of South
 Ossetia Eduard Kokoity told Itar-Tass. ... ""South Ossetian armed forces have engaged the Georgian military
 on approaches to Tskhinvali,"" Kokoity said. ... ""Georgian troops are storming the city, the city is being
 bombed,"" he said. ... ""Our troops are holding their ground with confidence, the city
 is well defended; the fighting is tough, and the Georgian side is
 already suffering losses,"" the South Ossetian leader said....","Aug. 08, 2008"
"German foreign minister calls for stopping threats, violence in S - Ossetia","...BERLIN, August 8 (Itar-Tass) - German Foreign Minister
 Frank-Walter Steinmeier has called on conflicting sides in South
 Ossetia to stop mutual threats and violence. ... He spoke to Georgian President Mikhail Saakashvili and Russian
 Foreign Minister Sergei Lavrov by phone on Friday, the German
 Foreign Ministry said. ... Steinmeier said he was deeply concerned over the escalation of
 violence and armed operations in South Ossetia and urged the
 conflicting parties to abstain from mutual accusations and militant
 rhetoric....","Aug. 08, 2008"
Gordeyev proposes Japan long - term grain imports from Russia,"...MOSCOW, August 8 (Itar-Tass) - Russian Agriculture Minister
 Alexei Gordeyev has proposed Japan's considering imports of food
 grain from Russia on a long-term basis. ... He put forward the initiative at his talks with Japanese
 Ambassador to Russia Yasuo Saito on Thursday, the Agriculture
 Ministry's press service said. ... Gordeyev also called for broadening interaction in the sphere of
 innovation and new technology. ... ""I believe that we should establish an intensive dialogue on
 these matters, including with representatives of business of the
 two countries,"" he said....","Aug. 08, 2008"
Grain prices to regain stability in 2 - 3 months - Gordeyev,"...PYATIGORSK, August 8 (Itar-Tass) - Grain prices in Russia's
 domestic market will regain stability in two or three months' time,
 Agriculture Minister Alexei Gordeyev said during a working tour of
 the Stavropol Territory. ... ""In two or three months from now the prices will be beneficial
 for both producers and consumers,"" he said. ... Gordeyev advised farmers against hurrying to sell grain now or
 getting nervous. He believes they should wait till the moment the
 government and regional funds start buying up grain and export gets
 more active....","Aug. 08, 2008"
"Gunfire in Tskhinvali stops, residents getting out of shelters to streets","...TSKHINVALI, August 8 (Itar-Tass) - Residents of Tskhinvali, the
 capital of the unrecognized republic of South Ossetia that has
 sustained an amassed combat operation on the part of Georgian
 government forces, are getting out of basement floors where they
 took hiding from Georgian artillery gunfire. ... People are examining their houses to find out that, luckily, the
 actual destruction has a smaller scale then they imagined. ... However, there is no electricity, water or natural gas
 supplies....","Aug. 08, 2008"
Hizb - ut-Tahrir gets access to European nations - minister,"...KAIRAKKUM (Tajikistan), August 8 (Itar-Tass) - The extremist
 organization Hizb-ut-Tahrir al-Islami is a serious threat. It
 already has an access to European nations, Russian Interior
 Minister Rashid Nurgaliyev said on Friday. ... ""This organization has spread not only in Russia, Tajikistan and
 other Central Asian countries but also in European states,"" he
 said. The organization is actively recruiting new members. ""The
 supreme courts of Russia and Tajikistan announced the organization
 extremist....","Aug. 08, 2008"
IOC president thanks Putin for changing location of some Olympic sites,"...BEIJING, July 8 (Itar-Tass) - International Olympic Committee
 (IOC) President Jacques Rogge has thanked Russian Prime Minister
 Vladimir Putin for changing the location of some prospective
 Olympic facilities in Sochi for environmental reasons. ... He said they listened to reports by IOC Coordination Commission
 Chairman Jean-Claude Killy and Sochi 2014 Organizing Committee
 Chairman Dmitry Chernyshenko at the beginning of this week. ... Rogge lauded Sochi Olympic preparations and said it was
 impermissible to waste time in that project....","Aug. 08, 2008"
Injured from South Ossetia begin to be brought to North Ossetia,"...VLADIKAVKAZ, August 8 (Itar-Tass) - Ambulances carrying injured
 from South Ossetia have begun to cross into North Ossetia through
 the Nizhni Zaramag customs checkpoint, the chief of the Russian
 Emergency Situations Ministry's rescue team, Sergei Shchetinin, has
 told Itar-Tass. ... ""The situation at the customs checkpoint is strained. A crowd of
 North Ossetians anxious about the fate of their relatives has
 gathered there, but no information is available at this point,"" he
 said. ... The Emergency Situations Ministry plans to delegate professional
 psychologists to extend assistance to the injured and to the
 residents of North Ossetia....","Aug. 08, 2008"
Iran hopes Russia to honour commitments on Bushehr - official,"...TEHRAN, August 8 (Itar-Tass) - Iran hopes that Russia well
 honour its commitments on the timely launch of the Bushehr nuclear
 power plant the construction of which is now coming to an end in
 the south of the Islamic Republic with the help of Russian
 specialists, Iranian Vice President and head of the country's
 Atomic Energy Organisation (AEO) Gholam Reza Aghazadeh stated on
 Friday. ... ""I hope that preparation work for the launch of the plant will
 be started before the end of the current year, in particular, the
 fuel loading into the reactor,"" the ISNA news agency quoted the
 official....","Aug. 08, 2008"
"Israel, Palestinians must abide by earlier commitments - Moscow","...MOSCOW, August 8 (Itar-Tass) - Palestinians and Israelis should
 not take actions that contradict their commitments, the Russian
 Foreign Ministry said on Friday in comments on the Israeli
 government's intention to continue to build settlements on the
 occupied Israeli lands. ... ""The Russian position is well known,"" the ministry said. ""Israel
 and Palestinians should not create new realities that could hamper
 the successful progress of the bilateral negotiations, which
 highlight the question of settlements....","Aug. 08, 2008"
Italian foreign ministry says ready to evacuate Italians from Georgia,"...ROME, August 8 (Itar-Tass) - Italian Foreign Ministry officials
 are watching closely the situation in the zone of Georgian-South
 Ossetian conflict, and the Italian embassy in Tbilisi has
 established contacts with the 120 or so Italians living in Georgia,
 the Foreign Ministry's press service said. ... The SMS-reports sent the embassy sent out alert the
 fellow-countrymen to the importance of avoiding risky zones and
 also furnish them with the telephone numbers of the embassy and the
 Foreign Ministry's operative crisis-response center....","Aug. 08, 2008"
Kazan forum to discuss problems of anti - monopoly legislation,"...KAZAN, August 8 (Itar-Tass) - A workshop in Kazan on Friday will
 discuss topical issues of using anti-monopoly legislation, the
 department of the Federal Anti-monopoly Service (FAS) for Tatarstan
 told Itar-Tass. ... FAS director Igor Artemyev will chair the discussion. ... ""The specifics of the country's' legal fold and FAS's new tasks
 will be reviewed behind closed doors. Among the participants are
 deputy director of the federal arbitration tribunal of the Volga
 district Rakif Abduvagapov, deputy chairman of the republic's
 arbitration tribunal Viktor Martynov and other officials,""
 spokeswoman of the FAS department for Tatarstan Razeda Mazipova
 said....","Aug. 08, 2008"
Lavrov says events cast doubts over Georgia's consistency as state,"...MOSCOW, August 8 (Itar-Tass) - Latest developments in South
 Ossetia cast doubts over Georgia's consistency as a state and a
 responsible member of the international community, Russian Foreign
 Minister Sergei Lavrov told a news briefing Friday. ... ""It's clear now why the Georgian side refused to sign a document
 on the non-use force against South Ossetia and Abkhazia for so many
 long months,"" he said. ""President Mikhail Saakashvili said prior to
 the unleashing of combat actions against South Ossetia that it's
 total nonsense to demand that he sign a document of this kind....","Aug. 08, 2008"
"Lavrov, Rice have three phone conversations on South Ossetia","...MOSCOW, August 8 (Itar-Tass) - Russian Foreign Minister Sergei
 Lavrov insisted on the immediate withdrawal of Georgian armed units
 from the Georgian-Ossetian conflict zone in three telephone
 conversations with U.S. Secretary of State Condoleezza Rice on
 Friday. Rice initiated the conversations, the Russian Foreign
 Ministry said. ... ""Lavrov assessed the latest developments in South Ossetia, where
 Georgian servicemen committed an act of aggression in violation of
 international laws and caused numerous victims amongst civilians
 and Russian peacekeepers,"" the ministry said....","Aug. 08, 2008"
Limnologists in Mir submersibles to study Baikal in PPM area,"...IRKUTSK, August 8 (Itar-Tass) - Scientists of the Limnology
 Institute of the Siberian Department of the Russian Academy of
 Sciences (RAN) will study Lake Baikal's water area near the
 pulp-and-paper plant. They will dive into the lake in Mi-1 and Mi-2
 deepwater submersibles, institute's director Academician Mikhail
 Grachev told Itar-Tass on Friday. ... ""We have an agreement with President of the Fund for the
 Assistance to the Lake Baikal Preservation, RAN Corresponding
 Member Artur Chilingarov on such works and their specific programme
 is currently being prepared,"" the institute director noted....","Aug. 08, 2008"
Lufthansa cancels Munich - Tbilisi-Munich flight due Friday,"...BERLIN, August 8 (Itar-Tass) - Germany's main airline Lufthansa
 on Friday cancelled its daily Munich-Tbilisi-Munich flight, a
 spokesman for the airline said. ... He indicated that 113 tickets had been sold for Friday. ... At the time of reporting, it was not clear yet whether or not
 the daily flight would be carried out Saturday....","Aug. 08, 2008"
Many volunteers ready to go to South Ossetia - Putin,"...BEIJING, August 8 (Itar-Tass) - Many volunteers ""from Russia and
 other places"" are ready to go to South Ossetia, Russian Prime
 Minister Vladimir Putin said. ... The prime minister's press secretary Dmitry Peskov cited Putin
 as saying at his meeting with US President George Bush that ""it is
 very difficult to keep peace""....","Aug. 08, 2008"
